,Onduleur A: energie totale (MWh),Onduleur B: energie totale (MWh),Onduleur C: energie totale (MWh),Onduleur D-A: energie totale (MWh),Onduleur D-B: energie totale (MWh),Onduleur: energie totale (MWh)
2022-08-27 07:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 07:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 07:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 07:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 07:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 07:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 08:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 08:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 08:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 08:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 08:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 08:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 09:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 09:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 09:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 09:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 09:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 09:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 10:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 10:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 10:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 10:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 10:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 10:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 11:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 11:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 11:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 11:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 11:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 11:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 12:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 12:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 12:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 12:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 12:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 12:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 13:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 13:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 13:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 13:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 13:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 13:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 14:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 14:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 14:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 14:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 14:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 14:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 15:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 15:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 15:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 15:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 15:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 15:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 16:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 16:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 16:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 16:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
